File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF113EJC	bam	bam		unfiltered alignments	hg19	ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				1	1_1, 1_2		76				ENCFF206CBY, ENCFF287OKD, ENCFF537VQM, ENCFF807MUK, ENCFF845LXK	3593689904	ENCODE Processing Pipeline	4e084f60504dea7e278026f46d423b20		https://www.encodeproject.org/files/ENCFF113EJC/@@download/ENCFF113EJC.bam				released	s3://encode-public/2019/06/12/f599fd7c-b54d-4964-9ec7-69df8ed8b559/ENCFF113EJC.bam	mild to moderate bottlenecking, inconsistent platforms			
ENCFF378YBF	bam	bam		alignments	hg19	ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				1	1_1, 1_2		76				ENCFF206CBY, ENCFF287OKD, ENCFF537VQM, ENCFF807MUK, ENCFF845LXK	2897110881	ENCODE Processing Pipeline	d872c0cd841eb0cae8e3f5b7f57004d0		https://www.encodeproject.org/files/ENCFF378YBF/@@download/ENCFF378YBF.bam				released	s3://encode-public/2019/06/12/6a90b4b2-4021-406a-943e-fb55b740c0ec/ENCFF378YBF.bam	mild to moderate bottlenecking, inconsistent platforms			
ENCFF651VYJ	bam	bam		unfiltered alignments	hg19	ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				2	2_1, 2_2		76				ENCFF055HTK, ENCFF061MTL, ENCFF419CCZ, ENCFF545NBT, ENCFF742JGZ, ENCFF807MUK, ENCFF832LFB, ENCFF989KCU, ENCFF990BNJ	2846491369	ENCODE Processing Pipeline	1fac7ec4b6d43b111bad25b73fb20a6f		https://www.encodeproject.org/files/ENCFF651VYJ/@@download/ENCFF651VYJ.bam				released	s3://encode-public/2019/08/28/9682c070-292e-47fc-9f9a-bd0c2ce32001/ENCFF651VYJ.bam	mild to moderate bottlenecking, inconsistent platforms			
ENCFF336HUM	bam	bam		alignments	hg19	ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				2	2_1, 2_2		76				ENCFF055HTK, ENCFF061MTL, ENCFF419CCZ, ENCFF545NBT, ENCFF742JGZ, ENCFF807MUK, ENCFF832LFB, ENCFF989KCU, ENCFF990BNJ	2222059474	ENCODE Processing Pipeline	63afe42342a9faa6dae9b1e4465782cf		https://www.encodeproject.org/files/ENCFF336HUM/@@download/ENCFF336HUM.bam				released	s3://encode-public/2019/08/28/b2e74695-bda4-409d-b5e7-7aa11b7e9ba7/ENCFF336HUM.bam	mild to moderate bottlenecking, inconsistent platforms			
ENCFF367WPF	bam	bam		redacted alignments	hg19	ENCSR447OHF	ChIP-seq ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_2		36				ENCFF740YHE, ENCFF807MUK, ENCFF951ADP	234974394	ENCODE Processing Pipeline	c5d6d08304a83d982c0537378158c293		https://www.encodeproject.org/files/ENCFF367WPF/@@download/ENCFF367WPF.bam				released	s3://encode-public/2018/01/19/c0441654-269e-4a7b-a86c-82d5a0177802/ENCFF367WPF.bam	low read depth, low read length, inconsistent platforms			
ENCFF674BFH	bam	bam		redacted unfiltered alignments	hg19	ENCSR447OHF	ChIP-seq ChIP-seq	UBERON:0003346	mucosa of rectum	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_2		36				ENCFF740YHE, ENCFF807MUK, ENCFF951ADP	325480836	ENCODE Processing Pipeline	bfb3a8eef300f1e9dd8a18f5f56e6690		https://www.encodeproject.org/files/ENCFF674BFH/@@download/ENCFF674BFH.bam				released	s3://encode-public/2018/01/19/1d7339a4-0fd7-4b1f-bacb-7c2a31d1effc/ENCFF674BFH.bam	low read depth, low read length, inconsistent platforms			
ENCFF638CVV	bam	bam		alignments	hg19	ENCSR316LNO	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				2	2_1		76				ENCFF099PUQ, ENCFF272AFL, ENCFF488NZH, ENCFF807MUK, ENCFF969RFG	2087252313	ENCODE Processing Pipeline	e93d3c6e91d288785ec565a1c2250496		https://www.encodeproject.org/files/ENCFF638CVV/@@download/ENCFF638CVV.bam				released	s3://encode-public/2019/06/12/feb51790-84e1-461e-a159-1049d192b272/ENCFF638CVV.bam				
ENCFF771WXE	bam	bam		unfiltered alignments	hg19	ENCSR316LNO	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				2	2_1		76				ENCFF099PUQ, ENCFF272AFL, ENCFF488NZH, ENCFF807MUK, ENCFF969RFG	2508583923	ENCODE Processing Pipeline	bb0d245bbe7b7a05bb9a952196c2f946		https://www.encodeproject.org/files/ENCFF771WXE/@@download/ENCFF771WXE.bam				released	s3://encode-public/2019/06/12/debf00e1-64ef-47f7-941f-105742b1361d/ENCFF771WXE.bam				
ENCFF395XQC	bam	bam		unfiltered alignments	hg19	ENCSR316LNO	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1	1_1		76				ENCFF024KFQ, ENCFF065THC, ENCFF585IMU, ENCFF807MUK, ENCFF839BLY, ENCFF878STL, ENCFF917VAP	3020939978	ENCODE Processing Pipeline	2140b7c45f686f774f09e01aa0cf0b4f		https://www.encodeproject.org/files/ENCFF395XQC/@@download/ENCFF395XQC.bam				released	s3://encode-public/2019/06/12/a475ef06-81d1-4dec-9a16-6221099e81e7/ENCFF395XQC.bam				
ENCFF478TRW	bam	bam		alignments	hg19	ENCSR316LNO	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1	1_1		76				ENCFF024KFQ, ENCFF065THC, ENCFF585IMU, ENCFF807MUK, ENCFF839BLY, ENCFF878STL, ENCFF917VAP	2328043886	ENCODE Processing Pipeline	1edaaca6a6783f758bfc439b897e6f28		https://www.encodeproject.org/files/ENCFF478TRW/@@download/ENCFF478TRW.bam				released	s3://encode-public/2019/06/12/1ffee62a-5f76-46da-918a-29715096e396/ENCFF478TRW.bam				
ENCFF625XET	bam	bam		alignments	hg19	ENCSR702OVJ	ChIP-seq ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE				1	1_1, 1_2		76				ENCFF305XKI, ENCFF766BQI, ENCFF807MUK, ENCFF880QFR, ENCFF980DPM	2002346111	ENCODE Processing Pipeline	9ce9b12905945a42b61af27abe5d74ec		https://www.encodeproject.org/files/ENCFF625XET/@@download/ENCFF625XET.bam				released	s3://encode-public/2018/06/13/a9377b6c-cd32-4b8d-83b3-cc2fd2cb21cb/ENCFF625XET.bam				
ENCFF756KJB	bam	bam		unfiltered alignments	hg19	ENCSR702OVJ	ChIP-seq ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE				1	1_1, 1_2		76				ENCFF305XKI, ENCFF766BQI, ENCFF807MUK, ENCFF880QFR, ENCFF980DPM	2344755681	ENCODE Processing Pipeline	4fa7b1f45af71b543289e3cd67e0f4af		https://www.encodeproject.org/files/ENCFF756KJB/@@download/ENCFF756KJB.bam				released	s3://encode-public/2018/06/13/f6366da9-f616-428a-9d18-7b07924648c2/ENCFF756KJB.bam				
ENCFF370IVP	bam	bam		unfiltered alignments	hg19	ENCSR931WLE	ChIP-seq ChIP-seq	CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_2		36				ENCFF389ETO, ENCFF407IQY, ENCFF807MUK	1746125280	ENCODE Processing Pipeline	eaa675fcda3a842496168d1be261bdba		https://www.encodeproject.org/files/ENCFF370IVP/@@download/ENCFF370IVP.bam				released	s3://encode-public/2016/12/19/9d4f13f6-bfd0-4bad-948e-f73203fc6c49/ENCFF370IVP.bam	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length			
ENCFF061DSN	bam	bam		alignments	hg19	ENCSR931WLE	ChIP-seq ChIP-seq	CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_2		36				ENCFF389ETO, ENCFF407IQY, ENCFF807MUK	843472823	ENCODE Processing Pipeline	3b703b41dc67f0986a2aef1886c41878		https://www.encodeproject.org/files/ENCFF061DSN/@@download/ENCFF061DSN.bam				released	s3://encode-public/2016/12/19/c596638b-e91d-491d-b4f2-60a3b04a39e0/ENCFF061DSN.bam	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length			
ENCFF207CVD	bam	bam		unfiltered alignments	hg19	ENCSR931WLE	ChIP-seq ChIP-seq	CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				2	2_2		36				ENCFF120VZS, ENCFF555LEX, ENCFF807MUK	1742172841	ENCODE Processing Pipeline	092dab9bb9e4e01e99b20493497213d4		https://www.encodeproject.org/files/ENCFF207CVD/@@download/ENCFF207CVD.bam				released	s3://encode-public/2017/02/08/3097c0d1-9a39-434b-b833-b238e4f761bc/ENCFF207CVD.bam	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length			
ENCFF846PYW	bam	bam		alignments	hg19	ENCSR931WLE	ChIP-seq ChIP-seq	CL:0000222	mesodermal cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				2	2_2		36				ENCFF120VZS, ENCFF555LEX, ENCFF807MUK	845930361	ENCODE Processing Pipeline	e936d78601ba36b59c978e222404cf27		https://www.encodeproject.org/files/ENCFF846PYW/@@download/ENCFF846PYW.bam				released	s3://encode-public/2017/02/08/03864177-e6a1-44a3-966a-bcf1b89c8c7a/ENCFF846PYW.bam	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length			
ENCFF492FQP	bam	bam		redacted alignments	hg19	ENCSR917QEH	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		76				ENCFF669XWQ, ENCFF807MUK	377678632	ENCODE Processing Pipeline	023236f685256221e29637fa42354a26		https://www.encodeproject.org/files/ENCFF492FQP/@@download/ENCFF492FQP.bam				released	s3://encode-public/2018/01/21/14b86410-fdf2-490b-8494-ef98880dfe4b/ENCFF492FQP.bam	low read depth, mixed run types, control low read depth			
ENCFF082EPH	bam	bam		redacted unfiltered alignments	hg19	ENCSR917QEH	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		76				ENCFF669XWQ, ENCFF807MUK	442389352	ENCODE Processing Pipeline	84a25e1568842dfd399613c2eef99164		https://www.encodeproject.org/files/ENCFF082EPH/@@download/ENCFF082EPH.bam				released	s3://encode-public/2018/01/21/eff7b724-43b4-4225-8f30-899233723035/ENCFF082EPH.bam	low read depth, mixed run types, control low read depth			
ENCFF714RDK	bam	bam		redacted alignments	hg19	ENCSR917QEH	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				2	2_1		75				ENCFF440KQM, ENCFF807MUK, ENCFF988DHL	181032476	ENCODE Processing Pipeline	a297d113c1d78e6c91b2e0185f42f306		https://www.encodeproject.org/files/ENCFF714RDK/@@download/ENCFF714RDK.bam				released	s3://encode-public/2018/01/21/0867aa86-86c4-46fc-b4b4-dbe34a5fc892/ENCFF714RDK.bam	low read depth, mixed run types, control low read depth			
ENCFF428IMX	bam	bam		redacted unfiltered alignments	hg19	ENCSR917QEH	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				2	2_1		75				ENCFF440KQM, ENCFF807MUK, ENCFF988DHL	401026565	ENCODE Processing Pipeline	40a201b83624a16760726ada844c80c1		https://www.encodeproject.org/files/ENCFF428IMX/@@download/ENCFF428IMX.bam				released	s3://encode-public/2018/01/21/e517b62d-1f3a-4f77-a8e3-27f9fd8c0027/ENCFF428IMX.bam	low read depth, mixed run types, control low read depth			
ENCFF536BFO	bam	bam		redacted alignments	hg19	ENCSR822ZIG	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		76				ENCFF596KYX, ENCFF807MUK	183687033	ENCODE Processing Pipeline	c2684994f90c18cfdc33f969be040c01		https://www.encodeproject.org/files/ENCFF536BFO/@@download/ENCFF536BFO.bam				released	s3://encode-public/2018/01/21/2d0d148c-541a-49e1-a131-a294c1bfbb7e/ENCFF536BFO.bam	low read depth			
ENCFF677MBH	bam	bam		redacted unfiltered alignments	hg19	ENCSR822ZIG	ChIP-seq ChIP-seq	CL:1001608	foreskin fibroblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		76				ENCFF596KYX, ENCFF807MUK	271377804	ENCODE Processing Pipeline	a822c0e2ba6d64d799072776a53807d8		https://www.encodeproject.org/files/ENCFF677MBH/@@download/ENCFF677MBH.bam				released	s3://encode-public/2018/01/21/664726d3-a641-400b-9c7d-8d07161af4cd/ENCFF677MBH.bam	low read depth			
ENCFF144VYT	bam	bam		unfiltered alignments	hg19	ENCSR600TOW	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1	1_1, 1_2		76				ENCFF471AGX, ENCFF492SQJ, ENCFF716IXG, ENCFF807MUK, ENCFF900HAH	3587081517	ENCODE Processing Pipeline	e5965a3b6e906bc5f16b217fdd7ff88a		https://www.encodeproject.org/files/ENCFF144VYT/@@download/ENCFF144VYT.bam				released	s3://encode-public/2019/06/12/38660e0f-48c2-4343-9594-9e3b3df174d7/ENCFF144VYT.bam				
ENCFF986GSN	bam	bam		alignments	hg19	ENCSR600TOW	ChIP-seq ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1	1_1, 1_2		76				ENCFF471AGX, ENCFF492SQJ, ENCFF716IXG, ENCFF807MUK, ENCFF900HAH	2925589648	ENCODE Processing Pipeline	2a22cb18cde2cb225579abf4a9f70654		https://www.encodeproject.org/files/ENCFF986GSN/@@download/ENCFF986GSN.bam				released	s3://encode-public/2019/06/12/9fbd8fa3-312b-4095-bce1-e223d91a4594/ENCFF986GSN.bam				
ENCFF166CLO	bam	bam		alignments	hg19	ENCSR944KAZ	ChIP-seq ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-12	ENCODE				1	1_1, 1_2		76				ENCFF003HGP, ENCFF260PYL, ENCFF718MGE, ENCFF753SNQ, ENCFF807MUK	2384022100	ENCODE Processing Pipeline	6709d81f921d4045aa150e2bcd4d23e9		https://www.encodeproject.org/files/ENCFF166CLO/@@download/ENCFF166CLO.bam				released	s3://encode-public/2019/06/12/718c9798-dea5-4aaa-8457-fd79c1ffda02/ENCFF166CLO.bam		mismatched status		
ENCFF702ZFB	bam	bam		unfiltered alignments	hg19	ENCSR944KAZ	ChIP-seq ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-12	ENCODE				1	1_1, 1_2		76				ENCFF003HGP, ENCFF260PYL, ENCFF718MGE, ENCFF753SNQ, ENCFF807MUK	2868023415	ENCODE Processing Pipeline	2816061de525343a011d48670f4313ac		https://www.encodeproject.org/files/ENCFF702ZFB/@@download/ENCFF702ZFB.bam				released	s3://encode-public/2019/08/07/58d6bf8d-f889-4b79-a075-973acba8f37a/ENCFF702ZFB.bam		mismatched status		
ENCFF195XJK	bam	bam		redacted unfiltered alignments	hg19	ENCSR579YLO	ChIP-seq ChIP-seq	NTR:0003079	fibroblast of breast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		75				ENCFF289TNM, ENCFF807MUK	344076082	ENCODE Processing Pipeline	3384eb550a01f9ac3facfd8e7c95e557		https://www.encodeproject.org/files/ENCFF195XJK/@@download/ENCFF195XJK.bam				released	s3://encode-public/2018/01/20/a16af914-3e41-490e-a5f5-95f32211a2b6/ENCFF195XJK.bam	control low read depth	NTR biosample		
ENCFF205LLD	bam	bam		redacted alignments	hg19	ENCSR579YLO	ChIP-seq ChIP-seq	NTR:0003079	fibroblast of breast	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1		75				ENCFF289TNM, ENCFF807MUK	267789169	ENCODE Processing Pipeline	dae8fe78b2d612d16ad837a852f07854		https://www.encodeproject.org/files/ENCFF205LLD/@@download/ENCFF205LLD.bam				released	s3://encode-public/2018/01/20/986698dc-8f34-4f99-a905-c612543d5a89/ENCFF205LLD.bam	control low read depth	NTR biosample		
ENCFF361XGU	bam	bam		alignments	hg19	ENCSR000EWR	ChIP-seq ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE				2	2_1		32				ENCFF000VHC, ENCFF807MUK	835765948	ENCODE Processing Pipeline	04e59e87b92e38ba03a910fb94fcb8f1		https://www.encodeproject.org/files/ENCFF361XGU/@@download/ENCFF361XGU.bam				released	s3://encode-public/2017/04/10/0ee6f34f-71cf-4c23-9882-c6d616aec5ba/ENCFF361XGU.bam		biological replicates with identical biosample	insufficient read length	
ENCFF548MXM	bam	bam		unfiltered alignments	hg19	ENCSR000EWR	ChIP-seq ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE				1	1_1		32				ENCFF000VHD, ENCFF807MUK	1354959539	ENCODE Processing Pipeline	e610ad2ac9dc52d57445790ef0fe34e3		https://www.encodeproject.org/files/ENCFF548MXM/@@download/ENCFF548MXM.bam				released	s3://encode-public/2017/04/10/5d1c7bb5-8e19-460f-8c1f-4e244e982264/ENCFF548MXM.bam		biological replicates with identical biosample	insufficient read length	
ENCFF878VGE	bam	bam		unfiltered alignments	hg19	ENCSR000EWR	ChIP-seq ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE				2	2_1		32				ENCFF000VHC, ENCFF807MUK	1189255826	ENCODE Processing Pipeline	d8edc71c8467ea5d99a0d8b054d4161c		https://www.encodeproject.org/files/ENCFF878VGE/@@download/ENCFF878VGE.bam				released	s3://encode-public/2017/04/10/c1649460-1356-4d7e-8aad-7b33f12853cd/ENCFF878VGE.bam		biological replicates with identical biosample	insufficient read length	
ENCFF548YRU	bam	bam		alignments	hg19	ENCSR000EWR	ChIP-seq ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE				1	1_1		32				ENCFF000VHD, ENCFF807MUK	935020357	ENCODE Processing Pipeline	c838c5506c65498ef0c11c91f66b6cf3		https://www.encodeproject.org/files/ENCFF548YRU/@@download/ENCFF548YRU.bam				released	s3://encode-public/2017/04/10/2ae531d3-a395-4de6-b5a4-2c2d6d1a9795/ENCFF548YRU.bam		biological replicates with identical biosample	insufficient read length	
