File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF361CBZ	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_3	76		paired-ended	1	ENCFF498RTW		2172640860	Michael Snyder, Stanford	0cc4240277eabc56d5aa58d01ee68e01		https://www.encodeproject.org/files/ENCFF361CBZ/@@download/ENCFF361CBZ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/6cc4658d-0f2d-465c-b5bb-54b623dc333b/ENCFF361CBZ.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF016WGG	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_4	76		paired-ended	1	ENCFF682VWZ		2104959475	Michael Snyder, Stanford	6b736ac3e2025875d76547de2b5a0727		https://www.encodeproject.org/files/ENCFF016WGG/@@download/ENCFF016WGG.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/ecfbbf87-a212-47a8-9436-2014c6bf7495/ENCFF016WGG.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF792EKC	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_1	76		paired-ended	2	ENCFF954UEC		3117583656	Michael Snyder, Stanford	99a2203932804df8976498c7aec6e9bc		https://www.encodeproject.org/files/ENCFF792EKC/@@download/ENCFF792EKC.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/f6a27e0a-6413-45ae-9c55-5278f8d86a03/ENCFF792EKC.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF728RJV	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_2	76		paired-ended	1	ENCFF218HFA		2019616407	Michael Snyder, Stanford	1007d1357c16bc8db86028c61137a1dc		https://www.encodeproject.org/files/ENCFF728RJV/@@download/ENCFF728RJV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/c01ae41c-be11-4333-8210-fced4db5351d/ENCFF728RJV.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF829SBE	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_2	76		paired-ended	2	ENCFF154KNN		2136544377	Michael Snyder, Stanford	aa55e829152fe2e8d58032fbc1e808f8		https://www.encodeproject.org/files/ENCFF829SBE/@@download/ENCFF829SBE.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/f0f5d58a-792c-4476-a395-0119bbeb0092/ENCFF829SBE.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF294HDC	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_5	76		paired-ended	1	ENCFF354TGE		230300038	Michael Snyder, Stanford	63583f8ea9c925b14f6d1d77784e5d68		https://www.encodeproject.org/files/ENCFF294HDC/@@download/ENCFF294HDC.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/5ca76857-7aa6-4f67-b67a-90ff7f5ffeae/ENCFF294HDC.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF709FLO	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_1	76		paired-ended	1	ENCFF396BSZ		1855077411	Michael Snyder, Stanford	1ede47572f3090cf3f13c18e4b7c8a74		https://www.encodeproject.org/files/ENCFF709FLO/@@download/ENCFF709FLO.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/44b79f2b-36a6-4bb2-ac3b-2b8a16368767/ENCFF709FLO.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF803XRX	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_4	76		paired-ended	2	ENCFF351LRE		1286941603	Michael Snyder, Stanford	3df8389dd7bad05f677425a3ae123798		https://www.encodeproject.org/files/ENCFF803XRX/@@download/ENCFF803XRX.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/e335734d-f1d6-454c-8e53-7dd4a2c5da31/ENCFF803XRX.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF218HFA	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_2	76		paired-ended	2	ENCFF728RJV		2112213578	Michael Snyder, Stanford	00d4a47baf908d4e356da87588430a47		https://www.encodeproject.org/files/ENCFF218HFA/@@download/ENCFF218HFA.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/bfea1a3f-c81d-4171-aed7-c1151d507afc/ENCFF218HFA.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF498RTW	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_3	76		paired-ended	2	ENCFF361CBZ		2230917787	Michael Snyder, Stanford	fa444b86962d84797e76f8679d124c1a		https://www.encodeproject.org/files/ENCFF498RTW/@@download/ENCFF498RTW.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/c8fd7349-a9cd-486c-bfe1-9ebb1e6f44ad/ENCFF498RTW.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF354TGE	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_5	76		paired-ended	2	ENCFF294HDC		234268173	Michael Snyder, Stanford	d22913fe5d3affb47ed6764f77359616		https://www.encodeproject.org/files/ENCFF354TGE/@@download/ENCFF354TGE.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/273fe029-6519-4b75-a7f4-81e2c41fbad6/ENCFF354TGE.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF396BSZ	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_1	76		paired-ended	2	ENCFF709FLO		2023896966	Michael Snyder, Stanford	190023e67caaf8be043060d7c17eab20		https://www.encodeproject.org/files/ENCFF396BSZ/@@download/ENCFF396BSZ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/e71f0a26-5b2e-43cc-836d-e13cf5503c2a/ENCFF396BSZ.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF154KNN	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_2	76		paired-ended	1	ENCFF829SBE		1946153442	Michael Snyder, Stanford	77932de19789ab32198091f7d42afadf		https://www.encodeproject.org/files/ENCFF154KNN/@@download/ENCFF154KNN.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/2eb0e255-9675-4f69-a854-7af42ac0aa2a/ENCFF154KNN.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF565CVN	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_3	76		paired-ended	1	ENCFF092IJN		1230191596	Michael Snyder, Stanford	d456c6fd9df6254a87b799599d2467f3		https://www.encodeproject.org/files/ENCFF565CVN/@@download/ENCFF565CVN.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/9e4fbbf9-8731-4ac4-ae54-82fb8109d3b5/ENCFF565CVN.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF247VZG	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_5	76		paired-ended	1	ENCFF738DHW		1616989437	Michael Snyder, Stanford	556b984284cf0f72b47acfc302447722		https://www.encodeproject.org/files/ENCFF247VZG/@@download/ENCFF247VZG.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/5a789617-037b-4795-8c33-bac2725606e7/ENCFF247VZG.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF351LRE	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_4	76		paired-ended	1	ENCFF803XRX		1168324587	Michael Snyder, Stanford	2f44472b8e5d137bba13f6ff541cad10		https://www.encodeproject.org/files/ENCFF351LRE/@@download/ENCFF351LRE.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/c406d511-b372-4f9a-8127-d8f1a61ada41/ENCFF351LRE.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF738DHW	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_5	76		paired-ended	2	ENCFF247VZG		1677755186	Michael Snyder, Stanford	a14f9b92042ecbe948f502a9ab3ba68f		https://www.encodeproject.org/files/ENCFF738DHW/@@download/ENCFF738DHW.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/9ea7843f-3fc7-48f4-af9e-da3170354bca/ENCFF738DHW.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF682VWZ	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_4	76		paired-ended	2	ENCFF016WGG		2291833909	Michael Snyder, Stanford	83efd8e14069f555072ff1cd865b70b4		https://www.encodeproject.org/files/ENCFF682VWZ/@@download/ENCFF682VWZ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/ebe0c73f-fa1b-4b4f-9e4a-b7fac91b7e29/ENCFF682VWZ.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF092IJN	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				2	2_3	76		paired-ended	2	ENCFF565CVN		1291683882	Michael Snyder, Stanford	2f6d00caaa6392718cb749aa38403357		https://www.encodeproject.org/files/ENCFF092IJN/@@download/ENCFF092IJN.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/58758e9f-0e59-409a-9016-dcc318294a48/ENCFF092IJN.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF834KFX	fastq	fastq		reads		ENCSR288YMH	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR				3	3_1	51		single-ended				2595475193	Tim Reddy, Duke	fad3934af4c0a4995f447e2b4519a465	SRA:SRR7140578	https://www.encodeproject.org/files/ENCFF834KFX/@@download/ENCFF834KFX.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/14f1205b-5793-4a8d-b21b-10c4185d81c7/ENCFF834KFX.fastq.gz				
ENCFF420ZSO	fastq	fastq		reads		ENCSR288YMH	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR				1	1_1	51		single-ended				2010229885	Tim Reddy, Duke	b1da3c71ba78ddd5526f05bb9c030127	SRA:SRR7140577	https://www.encodeproject.org/files/ENCFF420ZSO/@@download/ENCFF420ZSO.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/b3f26b9e-5e3b-4106-b03d-4585af980cca/ENCFF420ZSO.fastq.gz				
ENCFF358LJV	fastq	fastq		reads		ENCSR288YMH	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR				2	2_1	51		single-ended				1995384607	Tim Reddy, Duke	3abc9a9c8277d85e85287396e94b91e9	SRA:SRR7140579	https://www.encodeproject.org/files/ENCFF358LJV/@@download/ENCFF358LJV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/c51d7b66-0164-46e5-8d32-9db7324a25e7/ENCFF358LJV.fastq.gz				
ENCFF357PYB	fastq	fastq		reads		ENCSR210NKB	ATAC-seq ATAC-seq	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF256FOG		3137727981	Michael Snyder, Stanford	3adaf9542ee9762713f0f5207f30f440		https://www.encodeproject.org/files/ENCFF357PYB/@@download/ENCFF357PYB.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/97b96201-db07-48f0-93a7-0b7084e2e0d0/ENCFF357PYB.fastq.gz		experiment not submitted to GEO		
ENCFF256FOG	fastq	fastq		reads		ENCSR210NKB	ATAC-seq ATAC-seq	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF357PYB		2885207663	Michael Snyder, Stanford	56a97c26bda223ec5fc96cba3f196fe9		https://www.encodeproject.org/files/ENCFF256FOG/@@download/ENCFF256FOG.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/382e878f-a31d-48fd-acd4-b29196d5bd66/ENCFF256FOG.fastq.gz		experiment not submitted to GEO		
ENCFF538JTF	fastq	fastq		reads		ENCSR773USD	ATAC-seq ATAC-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF442BMJ		2314343502	Michael Snyder, Stanford	f566d389af455ee7513f7e3c7d35b9b9		https://www.encodeproject.org/files/ENCFF538JTF/@@download/ENCFF538JTF.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/e92770a2-6126-4a85-9106-1fa9930ea658/ENCFF538JTF.fastq.gz		experiment not submitted to GEO		
ENCFF442BMJ	fastq	fastq		reads		ENCSR773USD	ATAC-seq ATAC-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF538JTF		2497214791	Michael Snyder, Stanford	4043aa79c325ed2445eec8114d7013bf		https://www.encodeproject.org/files/ENCFF442BMJ/@@download/ENCFF442BMJ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/93334ebc-00cf-4b56-b966-502fc79fe51d/ENCFF442BMJ.fastq.gz		experiment not submitted to GEO		
ENCFF703BZC	fastq	fastq		reads		ENCSR515CDW	ATAC-seq ATAC-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF502PHC		1978216648	Michael Snyder, Stanford	d06b011ead318644f418c3e30b81337b		https://www.encodeproject.org/files/ENCFF703BZC/@@download/ENCFF703BZC.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/02/07/5dcc0a00-a5c6-4d72-8652-a5bc5f1431aa/ENCFF703BZC.fastq.gz		experiment not submitted to GEO		
ENCFF502PHC	fastq	fastq		reads		ENCSR515CDW	ATAC-seq ATAC-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF703BZC		1938330598	Michael Snyder, Stanford	719cc23817f9dd6f1177eb58eaeaf781		https://www.encodeproject.org/files/ENCFF502PHC/@@download/ENCFF502PHC.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/02/07/dc574103-0697-4e31-b5b1-01cdff59432c/ENCFF502PHC.fastq.gz		experiment not submitted to GEO		
ENCFF968KAQ	fastq	fastq		reads		ENCSR689SDA	ATAC-seq ATAC-seq	UBERON:0011907	gastrocnemius medialis	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF797AHS		2617513035	Michael Snyder, Stanford	b7881e069392108551a73bdc0669b057		https://www.encodeproject.org/files/ENCFF968KAQ/@@download/ENCFF968KAQ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/31/1effa953-01c1-49ba-b04f-468d94121d05/ENCFF968KAQ.fastq.gz		experiment not submitted to GEO		
ENCFF797AHS	fastq	fastq		reads		ENCSR689SDA	ATAC-seq ATAC-seq	UBERON:0011907	gastrocnemius medialis	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF968KAQ		2840981805	Michael Snyder, Stanford	1316e5d43bf6cd0be97b2123b63259ce		https://www.encodeproject.org/files/ENCFF797AHS/@@download/ENCFF797AHS.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/31/efdeb10c-c7dd-43d2-a71c-e14a0c74c82e/ENCFF797AHS.fastq.gz		experiment not submitted to GEO		
ENCFF520IRQ	fastq	fastq		reads		ENCSR923WGJ	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	4 day								DNA						2017-10-10	GGR				1	1_3	76		paired-ended	1	ENCFF907KNE		1313451188	Michael Snyder, Stanford	a231f409e3aefbc84cf1a9a32cec2812		https://www.encodeproject.org/files/ENCFF520IRQ/@@download/ENCFF520IRQ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/00f27515-028d-4e16-9bc7-e77ceb02e84b/ENCFF520IRQ.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF546WBL	fastq	fastq		reads		ENCSR923WGJ	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	4 day								DNA						2017-10-10	GGR				1	1_2	76		paired-ended	1	ENCFF858GTH		1572855184	Michael Snyder, Stanford	f4de9d523edfd61efdeaa4215f41526c		https://www.encodeproject.org/files/ENCFF546WBL/@@download/ENCFF546WBL.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/b47bd533-5322-4666-8532-1ca245d543cf/ENCFF546WBL.fastq.gz		experiment not submitted to GEO, mismatched file status		
ENCFF747LPX	fastq	fastq		reads		ENCSR923WGJ	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	4 day								DNA						2017-10-10	GGR				1	1_1	76		paired-ended	1	ENCFF334TQS		2485311072	Michael Snyder, Stanford	c0d62d7c38291d3d8ae37d8a680253ac		https://www.encodeproject.org/files/ENCFF747LPX/@@download/ENCFF747LPX.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/2a42da53-a763-4abc-89f8-21239ad91d75/ENCFF747LPX.fastq.gz		experiment not submitted to GEO, mismatched file status		
